symbol,group,module,variant,signal_date,signal_pos,reward_risk,trend_stage,rv_pct,mom_20,mom_121,ivol_60,fwd_20,fwd_60,vol_up,adx14,mkt_rv_pct_stock,year,regime,mkt_rv_pct_sector,regime_sector,signal_ts,rank_date,mom_rank_pct,in_top20,in_top30
002281.SZ,cn_stock,C,v3,2016-11-18,54,1.27873303167421,2,,0.0107401448109412,,,-0.0894257173558323,-0.0721932582480996,False,17.476144563586296,,2016,na,,na,2016-11-18,2016-10-31,0.9798387096774194,True,True
600600.SS,cn_stock,C,v1,2016-11-21,55,4.166666666666694,0,,-0.0365296803652969,,,-0.0679304897314375,0.1279620853080569,False,17.371701567070673,,2016,na,,na,2016-11-21,2016-10-31,0.4259072580645161,False,False
600850.SS,cn_stock,C,v1,2016-11-22,52,1.5125628140703538,0,,-0.0199656641444649,,,-0.131447479400506,-0.1135405177447609,False,16.30425260456556,,2016,na,,na,2016-11-22,2016-10-31,0.12298387096774194,False,False
603288.SS,cn_stock,C,v1,2016-11-22,56,1.808823529411758,1,,-0.0136553436406726,,,-0.1100686498855836,-0.0361556064073227,True,17.736771781680122,,2016,na,,na,2016-11-22,2016-10-31,0.3245967741935484,False,False
601689.SS,cn_stock,C,v1,2016-11-22,56,1.447439353099726,2,,0.034998271690287,,,-0.077064373382316,-0.0012524004341655,False,32.483902732842324,,2016,na,,na,2016-11-22,2016-10-31,0.9324596774193549,True,True
000568.SZ,cn_stock,C,v1,2016-11-23,57,1.2808988764044933,1,,-0.0770108385624642,,,-0.0803461063040791,0.622682323856613,False,31.015064950949625,,2016,na,,na,2016-11-23,2016-10-31,0.9112903225806451,True,True
002475.SZ,cn_stock,C,v1,2016-11-23,57,1.7412587412587417,0,,-0.0604694835680751,,,-0.0781531081351188,0.0461722966220268,True,22.645545499423825,,2016,na,,na,2016-11-23,2016-10-31,0.45564516129032256,False,False
002050.SZ,cn_stock,C,v1,2016-11-24,58,0.5641025641025661,1,,-0.0105101256088182,,,0.0829015544041449,0.0751295336787565,True,17.881880107951623,,2016,na,,na,2016-11-24,2016-10-31,0.8024193548387096,True,True
600584.SS,cn_stock,C,v1,2016-11-25,59,2.931034482758628,0,,-0.0356371490280778,,,-0.0593505039193728,-0.0033594624860021,True,22.765467181031223,,2016,na,,na,2016-11-25,2016-10-31,0.780241935483871,False,True
002304.SZ,cn_stock,C,v3,2016-11-28,60,0.6761565836298922,3,,0.005480596080069,,0.1963010099908477,-0.0275131725802684,0.2901861032522645,True,22.49475908448454,,2016,na,,na,2016-11-28,2016-10-31,0.7066532258064516,False,True
600893.SS,cn_stock,C,v3,2016-11-29,41,0.3423423423423448,2,,0.0193951148554458,,,-0.0704560318687198,-0.0359712230215827,True,22.31020904082,,2016,na,,na,2016-11-29,2016-10-31,0.10181451612903226,False,False
300394.SZ,cn_stock,C,v1,2016-11-30,62,4.6095238095237905,0,,-0.0225004891410681,,0.3915939034327767,-0.1933546837469976,-0.1965572457966373,False,17.532174537745313,,2016,na,,na,2016-11-30,2016-11-30,0.597445600756859,False,False
002460.SZ,cn_stock,C,v1,2016-11-30,62,5.00724637681159,0,,-0.0799491309877066,,0.271718893563364,-0.0824732768153335,-0.0197198673055658,False,18.154939138589807,,2016,na,,na,2016-11-30,2016-11-30,0.912961210974456,True,True
000661.SZ,cn_stock,C,v1,2016-11-30,62,1.882352941176477,0,,-0.067998555782886,,0.3295840812039579,-0.0290547520661157,-0.1015840220385674,True,29.062200046512768,,2016,na,,na,2016-11-30,2016-11-30,0.8538315988647115,True,True
