,A1,U0,U1,U2,A1xU0,A1xU1,A1xU2
2022-10,4.39538,3871.97998046875,5.912947,13330865.202006074,4.35945143066743,2.9730370373231656,4.32567004062131
2022-11,4.621031,4080.110107421875,5.912947,14104682.699062156,4.588521240123534,3.0493522569980294,4.5622523563772495
2022-12,4.626312,3839.5,5.887056,13327790.204788126,4.455847233068377,3.044418591236456,4.439213777069655
2023-01,5.002891,4076.60009765625,5.811542,14146153.570974449,4.7747795189391775,3.1487999395751096,4.756178468807004
2023-02,5.002891,3970.14990234375,5.692093,13778735.164030436,4.712438818332142,3.1164401111524374,4.694412296561565
2023-03,5.009142,4109.31005859375,5.667108,14259053.708955178,4.797972151468423,3.1115473862585565,4.77916729373495
2023-04,4.914669,4169.47998046875,5.665318,14466733.33581127,4.787853769169637,3.081713910498662,4.768903169452693
2023-05,4.740537,4179.830078125,5.582042,14502457.238256076,4.708976927171952,3.0044702321833308,4.690307613128229
2023-06,4.728328,4450.3798828125,5.618786,15436274.014688252,4.855313137207606,3.010489824601592,4.835272823132349
2023-07,4.751617,4588.9599609375,5.793749,15914590.389678365,4.942864998428384,3.0647755078440584,4.922094830194215
2023-08,4.571351,4507.66015625,5.627175,15633979.869092189,4.805319369976561,2.9625829231516643,4.785334173244933
2023-09,4.410939,4288.0498046875,5.551197,14875983.274697656,4.603952250556787,2.8906029720202304,4.585367887109381
2023-10,4.332397,4193.7998046875,5.551197,14550674.478851292,4.512366116926838,2.864867665022286,4.494407395724453
2023-11,4.324106,4567.7998046875,5.573278,15841555.005616397,4.709253166961374,2.867824179033238,4.689470243903947
2023-12,4.328438,4769.830078125,5.818766,16607299.640801905,4.815755415550952,2.93242070391845,4.805158407099566
2024-01,3.600701,4845.64990234375,5.911259,16907406.80936978,4.4491956816819895,2.7092142183305628,4.444631111873324
2024-02,4.135442,5096.27001953125,6.216993,17772435.228869602,4.894628885120713,2.980448380645681,4.888367389842055
2024-03,4.161003,5254.35009765625,6.409837,18318056.871974062,4.9856683449374355,3.0358844432078884,4.978512313917842
2024-04,4.252979,5035.68994140625,6.143091,17563339.926298823,4.937031191303296,3.006268156561151,4.93097642312969
2024-05,4.131037,5277.509765625,6.438089,18397993.67514841,4.984794628763423,3.0353522441322083,4.977451758668511
2024-06,3.852571,5460.47998046875,6.661297,19029524.924666654,4.90319739193366,2.985666045967691,4.895119324279709
2024-07,3.863355,5522.2998046875,6.736711,19242899.275607903,4.937815158432342,3.0067454280281267,4.929414468170963
2024-08,3.61692,5648.39990234375,6.624315,19678140.346430447,4.836705702939074,2.8857661277350948,4.827943573575095
2024-09,4.977738,5762.47998046875,6.77979,20071893.692268424,5.795421961378941,3.4624966445895637,5.7844711321893225
2024-10,5.889841,5705.4501953125,6.713802,19875052.41124222,6.297710309491148,3.7628741097404643,6.286070477093205
2024-11,5.889841,6032.3798828125,7.092085,21003467.29684423,6.478143789143554,3.868881950517937,6.46451769201182
2024-12,5.889841,5881.6298828125,6.936327,20483145.801095996,6.397198938588314,3.8263973134296356,6.384444543439254
2025-01,6.034691,6040.52978515625,6.957006,21031597.110294987,6.56227705099878,3.8791527226122184,6.548425585335082
2025-02,6.034691,5954.5,6.864762,20734660.81516133,6.51554677195765,3.8534355848273263,6.502198348714139
2025-03,6.034691,5611.85009765625,6.717736,19551986.78726424,6.328079187347068,3.8121701177729097,6.31676051638566
2025-04,6.273207,5569.06005859375,6.717736,19404294.73336072,6.429009523277494,3.8875064993548936,6.4177349804034005
2025-05,6.273207,5911.68994140625,6.700425,20586899.662808515,6.626778155361274,3.8824976224795344,6.613301094194338
2025-06,6.273207,6204.9501953125,6.744453,21599102.74046719,6.791144915431859,3.8952534256802664,6.775880303076386
2025-07,6.273207,6339.39013671875,6.821085,22063129.21742428,6.864715298414282,3.917382800776863,6.848665453068489
2025-08,6.273207,6460.259765625,6.906975,22480317.052273117,6.93015815433353,3.9420463263566448,6.913415559089561
2025-09,6.273207,6688.4599609375,7.082119,23267961.940869115,7.052557523843436,3.992026655066638,7.034528540174192
