,equity
1994-05-27,1.660469
1994-06-06,1.660469
1994-06-13,1.660469
1994-06-20,1.657049
1994-06-27,1.657049
1994-07-05,1.657049
1994-07-12,1.657049
1994-07-19,1.657049
1994-07-26,1.657049
1994-08-02,1.655891
1994-08-09,1.650308
1994-08-16,1.653563
1994-08-23,1.652932
1994-08-30,1.667527
1994-09-07,1.657777
1994-09-14,1.655068
1994-09-21,1.64599
1994-09-28,1.643171
1994-10-05,1.627505
1994-10-12,1.626546
1994-10-19,1.632486
1994-10-26,1.620998
1994-11-02,1.62075
1994-11-09,1.619385
1994-11-16,1.619656
1994-11-23,1.609657
1994-12-01,1.609657
1994-12-08,1.609657
1994-12-15,1.609657
1994-12-22,1.609657
1994-12-30,1.606929
1995-01-09,1.608853
1995-01-16,1.619402
1995-01-23,1.61501
1995-01-30,1.618328
1995-02-06,1.638284
1995-02-13,1.640021
1995-02-21,1.643664
1995-02-28,1.659566
1995-03-07,1.641621
1995-03-14,1.678293
1995-03-21,1.685716
1995-03-28,1.715782
1995-04-04,1.720345
1995-04-11,1.721333
1995-04-19,1.719256
1995-04-26,1.74561
1995-05-03,1.772237
1995-05-10,1.785449
1995-05-17,1.794676
1995-05-24,1.79992
1995-06-01,1.816536
1995-06-08,1.812655
1995-06-15,1.828897
1995-06-22,1.876396
1995-06-29,1.85188
1995-07-07,1.894443
1995-07-14,1.906429
1995-07-21,1.885079
1995-07-28,1.91678
1995-08-04,1.903194
1995-08-11,1.890153
1995-08-18,1.904113
1995-08-25,1.907144
1995-09-01,1.919878
1995-09-11,1.954167
1995-09-18,1.984335
1995-09-25,1.981066
1995-10-02,1.98076
1995-10-09,1.969353
1995-10-16,1.985221
1995-10-23,1.992133
1995-10-30,1.98597
1995-11-06,2.00371
1995-11-13,2.016785
1995-11-20,2.032278
1995-11-28,2.064966
1995-12-05,2.103204
1995-12-12,2.10695
1995-12-19,2.083625
1995-12-27,2.092478
1996-01-04,2.103272
1996-01-11,2.052163
1996-01-18,2.071061
1996-01-25,2.100991
1996-02-01,2.17396
1996-02-08,2.233922
1996-02-15,2.217748
1996-02-23,2.244171
1996-03-01,2.194083
1996-03-08,2.157071
1996-03-15,2.18106
1996-03-22,2.20972
1996-03-29,2.192548
1996-04-08,2.188277
1996-04-15,2.182346
1996-04-22,2.200648
1996-04-29,2.221899
1996-05-06,2.176652
1996-05-13,2.246811
1996-05-20,2.286263
1996-05-28,2.283145
1996-06-04,2.284263
1996-06-11,2.278874
1996-06-18,2.248675
1996-06-25,2.270435
1996-07-02,2.287822
1996-07-10,2.228339
1996-07-17,2.171897
1996-07-24,2.151243
1996-07-31,2.151243
1996-08-07,2.176078
1996-08-14,2.173855
1996-08-21,2.177037
1996-08-28,2.176763
1996-09-05,2.160568
1996-09-12,2.183443
1996-09-19,2.199754
1996-09-26,2.208965
1996-10-03,2.231253
1996-10-10,2.237147
1996-10-17,2.277019
1996-10-24,2.261882
1996-10-31,2.27148
1996-11-07,2.34356
1996-11-14,2.370066
1996-11-21,2.392192
1996-11-29,2.438152
1996-12-06,2.382047
1996-12-13,2.346748
1996-12-20,2.411903
1996-12-30,2.427942
1997-01-07,2.425946
1997-01-14,2.476285
1997-01-21,2.520925
1997-01-28,2.463918
1997-02-04,2.541988
1997-02-11,2.543051
1997-02-19,2.616806
1997-02-26,2.594872
1997-03-05,2.582988
1997-03-12,2.590299
1997-03-19,2.530748
1997-03-26,2.545982
1997-04-03,2.415799
1997-04-10,2.423627
1997-04-17,2.383959
1997-04-24,2.380774
1997-05-01,2.410448
1997-05-08,2.460315
1997-05-15,2.513425
1997-05-22,2.495152
1997-05-30,2.526997
1997-06-06,2.554833
1997-06-13,2.655704
1997-06-20,2.671238
1997-06-27,2.638625
1997-07-07,2.709859
1997-07-14,2.725005
1997-07-21,2.709885
