,equity
2000-12-07,3.760872
2000-12-14,3.760872
2000-12-21,3.760872
2000-12-29,3.760872
2001-01-08,3.760872
2001-01-16,3.760872
2001-01-23,3.760872
2001-01-30,3.760872
2001-02-06,3.760872
2001-02-13,3.760872
2001-02-21,3.760872
2001-02-28,3.760872
2001-03-07,3.760872
2001-03-14,3.760872
2001-03-21,3.760872
2001-03-28,3.760872
2001-04-04,3.760872
2001-04-11,3.760872
2001-04-19,3.760872
2001-04-26,3.760872
2001-05-03,3.760872
2001-05-10,3.760872
2001-05-17,3.760872
2001-05-24,3.760872
2001-06-01,3.760872
2001-06-08,3.760872
2001-06-15,3.760872
2001-06-22,3.760872
2001-06-29,3.760872
2001-07-09,3.760872
2001-07-16,3.760872
2001-07-23,3.760872
2001-07-30,3.760872
2001-08-06,3.760872
2001-08-13,3.760872
2001-08-20,3.760872
2001-08-27,3.760872
2001-09-04,3.760872
2001-09-17,3.760872
2001-09-24,3.760872
2001-10-01,3.760872
2001-10-08,3.760872
2001-10-15,3.760872
2001-10-22,3.760872
2001-10-29,3.760872
2001-11-05,3.760872
2001-11-12,3.760872
2001-11-19,3.760872
2001-11-27,3.760872
2001-12-04,3.760872
2001-12-11,3.742064
2001-12-18,3.721979
2001-12-26,3.675358
2002-01-03,3.753415
2002-01-10,3.753763
2002-01-17,3.688334
2002-01-25,3.64673
2002-02-01,3.603684
2002-02-08,3.603684
2002-02-15,3.603684
2002-02-25,3.603684
2002-03-04,3.603684
2002-03-11,3.610573
2002-03-18,3.565383
2002-03-25,3.565383
2002-04-02,3.565383
2002-04-09,3.565383
2002-04-16,3.565383
2002-04-23,3.565383
2002-04-30,3.565383
2002-05-07,3.565383
2002-05-14,3.565383
2002-05-21,3.565383
2002-05-29,3.565383
2002-06-05,3.565383
2002-06-12,3.565383
2002-06-19,3.565383
2002-06-26,3.565383
2002-07-03,3.565383
2002-07-11,3.565383
2002-07-18,3.565383
2002-07-25,3.565383
2002-08-01,3.565383
2002-08-08,3.565383
2002-08-15,3.565383
2002-08-22,3.565383
2002-08-29,3.565383
2002-09-06,3.565383
2002-09-13,3.565383
2002-09-20,3.565383
2002-09-27,3.565383
2002-10-04,3.565383
2002-10-11,3.565383
2002-10-18,3.565383
2002-10-25,3.565383
2002-11-01,3.565383
2002-11-08,3.565383
2002-11-15,3.565383
2002-11-22,3.565383
2002-12-02,3.565383
2002-12-09,3.565383
2002-12-16,3.565383
2002-12-23,3.565383
2002-12-31,3.565383
2003-01-08,3.565383
2003-01-15,3.572017
2003-01-23,3.553282
2003-01-30,3.553282
2003-02-06,3.553282
2003-02-13,3.553282
2003-02-21,3.553282
2003-02-28,3.553282
2003-03-07,3.553282
2003-03-14,3.553282
2003-03-21,3.566272
2003-03-28,3.542417
2003-04-04,3.535089
2003-04-11,3.523873
2003-04-21,3.533332
2003-04-28,3.589212
2003-05-05,3.67022
2003-05-12,3.738834
2003-05-19,3.64724
2003-05-27,3.762796
2003-06-03,3.841672
2003-06-10,3.882086
2003-06-17,3.950426
2003-06-24,3.840901
2003-07-01,3.901729
2003-07-09,4.078402
2003-07-16,4.079146
2003-07-23,4.037112
2003-07-30,4.039638
2003-08-06,3.918685
2003-08-13,3.980346
2003-08-20,4.125658
2003-08-27,4.168764
2003-09-04,4.352549
2003-09-11,4.294316
2003-09-18,4.424138
2003-09-25,4.255931
2003-10-02,4.280472
2003-10-09,4.382736
2003-10-16,4.434912
2003-10-23,4.347631
2003-10-30,4.418436
2003-11-06,4.502666
2003-11-13,4.47996
2003-11-20,4.336054
2003-11-28,4.468017
2003-12-05,4.430217
2003-12-12,4.44905
2003-12-19,4.452452
2003-12-29,4.556486
2004-01-06,4.657733
2004-01-13,4.738334
2004-01-21,4.842325
2004-01-28,4.695233
2004-02-04,4.561984
2004-02-11,4.709929
2004-02-19,4.625782
2004-02-26,4.603566
2004-03-04,4.646993
2004-03-11,4.409392
2004-03-18,4.451284
2004-03-25,4.459798
2004-04-01,4.531138
2004-04-08,4.588835
2004-04-16,4.494683
2004-04-23,4.584288
2004-04-30,4.352224
2004-05-07,4.338336
2004-05-14,4.338336
2004-05-21,4.338336
2004-05-28,4.378554
2004-06-07,4.422648
2004-06-15,4.373046
2004-06-22,4.370248
2004-06-29,4.451765
2004-07-07,4.301633
2004-07-14,4.301633
2004-07-21,4.301633
2004-07-28,4.301633
2004-08-04,4.301633
2004-08-11,4.301633
2004-08-18,4.301633
2004-08-25,4.301633
2004-09-01,4.301633
2004-09-09,4.301633
2004-09-16,4.301633
2004-09-23,4.301633
2004-09-30,4.301633
2004-10-07,4.256157
2004-10-14,4.234771
2004-10-21,4.234771
2004-10-28,4.253924
2004-11-04,4.352765
2004-11-11,4.430768
2004-11-18,4.519899
