,0
2025-05-09,1312749.66
2025-05-16,1467477.76
2025-05-21,1467477.76
2025-05-22,1466826.71
2025-05-27,1462705.76
2025-05-28,1462705.76
2025-05-30,1462705.76
2025-06-03,1464141.01
2025-06-09,1464141.01
2025-06-10,1464141.01
2025-06-11,1457343.21
2025-06-24,1457343.21
2025-06-26,1457343.21
2025-07-01,1457343.21
2025-07-07,1457343.21
2025-07-18,1457343.21
2025-07-21,1457343.21
2025-07-25,1482868.9
2025-07-30,1510033.43
2025-08-01,1505349.11
2025-08-06,1505349.11
2025-08-07,1505349.11
2025-08-11,1505349.11
2025-08-12,1505349.11
2025-08-13,1492252.58
2025-08-15,1492252.58
2025-08-18,1492252.58
2025-08-21,1492252.58
2025-08-22,1492252.58
2025-09-01,1492252.58
2025-09-02,1492252.58
2025-09-03,1492252.58
2025-09-04,1492252.58
2025-09-05,1492252.58
2025-09-08,1492252.58
2025-09-09,1492252.58
2025-09-15,1492252.58
2025-09-18,1492252.58
2025-09-19,1492252.58
2025-09-22,1492252.58
2025-09-23,1671114.53
2025-09-29,1671114.53
2025-09-30,1671114.53
2025-10-10,1671114.53
2025-10-15,1671114.53
2025-10-16,1671114.53
2025-10-20,1774889.53
2025-11-03,1774889.53
2025-11-06,1774889.53
2025-11-07,1774889.53
2025-11-11,1774889.53
2025-11-13,2049581.42
2025-11-18,2049581.42
2025-11-19,2049581.42
2025-11-20,2049581.42
2025-11-21,2039563.7
2025-11-24,1743826.97
2025-11-25,1743826.97
2025-12-23,1740413.52
2025-12-29,1740413.52
2025-12-31,1740413.52
2026-01-05,1782305.54
2026-01-06,1782305.54
2026-01-07,1782305.54
2026-01-08,1782305.54
2026-01-09,1737223.69
2026-01-14,1737223.69
2026-01-20,1737223.69
2026-01-27,1711487.04
2026-02-03,1616424.24
2026-02-04,1622095.22
2026-02-05,1622095.22
2026-02-06,1622095.22
2026-02-09,1776194.26
2026-02-26,1776194.26
2026-02-27,1776194.26
2026-03-02,1776194.26
2026-03-03,1776194.26
2026-03-04,1603646.42
2026-03-05,1590113.51
2026-03-06,1590113.51
2026-03-09,1580514.0
2026-03-11,1580514.0
2026-03-12,1580514.0
2026-03-16,1506325.86
2026-03-18,1451871.85
2026-03-19,1451871.85
2026-03-20,1408772.07
2026-03-23,1494520.32
2026-03-24,1483262.83
2026-03-26,1483262.83
2026-04-01,1468145.74
2026-04-02,1460513.2
2026-04-03,1453728.88
2026-04-08,1453728.88
2026-04-13,1453728.88
2026-04-20,1442832.79
