module,symbol,signal_date,entry_date,entry_price,stop_price,exit_date,exit_reason,holding_bars,r_net,is_tail,src,r_at_5,r_at_10,r_at_15,peak_r_at_5,peak_r_at_10,peak_r_at_15,slope5_r_at_10
A,^IXIC,2021-08-20,2021-08-23,14776.98046875,14423.16015625,2021-09-21,exit_a6_1_costbasis,20,0.0327932058557291,False,ohlcv,0.9963236105897679,1.6577314579699265,0.9287188942127227,0.9963236105897679,1.6577314579699265,1.6882852348252335,0.6614078473801586
A,^IXIC,2021-08-24,2021-08-25,15039.0302734375,14776.98046875,2021-09-21,structure_stop_C,18,-0.9567225300832188,False,ohlcv,0.8403362910348477,0.9448943314240569,0.4674683888663221,0.8657109104528228,1.279527016199658,1.279527016199658,0.10455804038920917
A,^IXIC,2021-09-16,2021-09-17,15163.3603515625,14984.6796875,2021-09-21,structure_stop_C,2,-2.0996304346638004,False,ohlcv,-0.6218922331105269,-4.000322458995786,-2.8505648497832965,-0.6218922331105269,-0.6218922331105269,-0.6218922331105269,-3.378430225885259
A,^IXIC,2021-09-24,2021-09-27,14954.1796875,14932.509765625,2021-09-28,exit_a6_1_costbasis,1,-8.395226678684102,False,ohlcv,-17.880982424515548,-17.28846327174403,-2.6229833258224424,0.7286615592609283,0.7286615592609283,0.7286615592609283,0.5925191527715187
A,^IXIC,2021-12-08,2021-12-09,15720.5400390625,15507.66015625,2021-12-10,exit_a6_1_costbasis,1,-0.5010841510351465,False,ohlcv,-0.7279220511126708,-0.9331571776557532,0.098738927193574,-0.4224937955584915,-0.4224937955584915,0.7080036148613004,-0.20523512654308246
A,^IXIC,2021-12-22,2021-12-23,15544.7900390625,15015.0302734375,2022-01-06,exit_a6_1_costbasis,9,-1.0121275213189944,False,ohlcv,0.3714316262161873,-0.8757359799732337,-1.3930474087237361,0.6162599497856118,0.6162599497856118,0.6162599497856118,-1.247167606189421
A,^IXIC,2021-12-28,2021-12-29,15794.919921875,15696.830078125,2022-01-03,structure_stop_C,3,-0.7973796145115722,False,ohlcv,-1.7555354227231095,-6.539614113336785,-14.829875353430767,0.3861753813069969,0.3861753813069969,0.3861753813069969,-4.784078690613676
A,^IXIC,2024-02-23,2024-02-26,16014.4501953125,15869.240234375,2024-04-11,exit_a6_1_costbasis,32,1.416814304448694,False,ohlcv,1.7938868152930496,0.4866068126029793,-0.28427990181243484,1.7938868152930496,1.7938868152930496,1.7938868152930496,-1.3072800026900704
A,^IXIC,2024-06-05,2024-06-06,17204.869140625,16750.390625,2024-07-25,exit_a6_1_costbasis,33,0.28728886128933806,False,ohlcv,0.8879854572333504,1.1369529809663377,1.438595058725445,0.8879854572333504,1.4464079280425282,1.4464079280425282,0.24896752373298725
A,^IXIC,2024-10-04,2024-10-07,18080.119140625,17767.7890625,2025-01-02,exit_a6_1_costbasis,60,4.1805167747462715,True,ohlcv,0.8414825561399011,1.3108940486389473,1.403932138100092,0.8414825561399011,1.3529606723655987,1.599751114668601,0.46941149249904635
