symbol,group,module,variant,signal_date,signal_pos,reward_risk,trend_stage,rv_pct,mom_20,mom_121,ivol_60,fwd_20,fwd_60,vol_up,adx14,mkt_rv_pct_stock,year,regime,mkt_rv_pct_sector,regime_sector
300347.SZ,cn_stock,C,v1,2023-08-24,1695,0.7026239067055405,2,0.8518518518518519,0.005673454367026487,-0.38851682685571787,0.39517569754228693,-0.04757112798463081,-0.04741865642057752,False,16.941138212827823,0.30158730158730157,2023,mid,0.2923280423280423,mid
300347.SZ,cn_stock,C,v1,2023-12-11,1766,7.589108910891107,0,0.03042328042328042,-0.1833809201424661,-0.2119852074054568,0.4343192273572571,-0.12687885232310847,-0.2328515301157048,True,20.57006542772581,0.07275132275132275,2023,low,0.022486772486772486,low
300347.SZ,cn_stock,C,v1,2024-01-23,1796,5.415094339622625,0,0.3306878306878307,-0.12282938904099305,-0.5067874574905613,0.22994575862824437,-0.08893449632290074,0.21250213784846927,False,25.87100966920048,0.7156084656084656,2024,high,0.9246031746031746,high
300347.SZ,cn_stock,C,v2,2024-02-26,1814,0.09657701711491433,1,0.8095238095238095,-0.09600133567075708,-0.5953686675847965,0.29813103747220654,0.12928248222365846,0.25464031766552764,False,30.93026554373768,0.958994708994709,2024,high,0.9986772486772487,high
300347.SZ,cn_stock,C,v2,2024-03-12,1825,1.1942857142857162,2,0.544973544973545,0.1757717137742092,-0.6579606635632362,0.3185835067237034,0.27384303049877734,0.30614128177917244,False,18.448094582194166,0.8809523809523809,2024,high,0.9457671957671958,high
300347.SZ,cn_stock,C,v1,2024-04-22,1852,7.608333333333311,0,0.6481481481481481,-0.01135764410010942,-0.47532690156891855,0.6121332281262392,0.11036803019734953,0.05918434333073486,False,25.06658388823393,0.7566137566137566,2024,high,0.9457671957671958,high
300347.SZ,cn_stock,C,v1,2024-06-26,1895,8.477064220183456,0,0.16666666666666666,-0.09457144984734522,-0.2237505534844525,0.439447120305128,0.05397236614853185,0.023131014063656474,False,23.13783591581557,0.051587301587301584,2024,mid,0.6917989417989417,mid
300347.SZ,cn_stock,C,v3,2024-07-18,1911,0.09699321047526671,2,0.3425925925925926,0.02440456902138699,-0.20492637047933526,0.41935264727814414,0.031632431150036444,0.29477471777940334,True,19.638175519485507,0.548941798941799,2024,high,0.8068783068783069,high
300347.SZ,cn_stock,C,v1,2024-11-20,1993,0.9999999999999976,1,0.798941798941799,-0.030529324613519537,-0.040312260046071025,0.38971993013010947,-0.04646424105833513,-0.055726216020129504,False,21.908326438462616,0.8809523809523809,2024,high,0.8624338624338624,high
300347.SZ,cn_stock,C,v1,2024-12-24,2017,20.37499999999982,0,0.19973544973544974,-0.02741037961724535,0.11413576435550055,0.36952001783498173,-0.17690701346326887,-0.06672212695879542,False,12.206084801927581,0.3664021164021164,2024,mid,0.626984126984127,mid
