,S0,S2_v1,S3
1994-07-31,1965178.6310211658,1662072.9781760057,1117297.56803988
1994-08-31,2039066.7921273836,1688983.37675208,1117297.56803988
1994-09-30,1984261.703377886,1672019.0030523292,1117297.56803988
1994-10-31,2025601.4458518787,1705434.6444125976,1140871.959487451
1994-11-30,1945580.8469121875,1670773.3787973088,1139691.2936223345
1994-12-31,1969509.7740267524,1686104.760337268,1149716.9953208866
1995-01-31,2017324.9646323798,1709705.677839376,1149716.9953208866
1995-02-28,2090098.244117066,1733149.6271070582,1149716.9953208866
1995-03-31,2147218.9468366755,1752022.5796323575,1149716.9953208866
1995-04-30,2207255.956875714,1771508.8914809371,1149716.9953208866
1995-05-31,2287405.201035967,1797129.6163913128,1149716.9953208866
1995-06-30,2336077.8519519917,1812526.055212398,1149716.9953208866
1995-07-31,2410309.154226382,1835484.4418681604,1149716.9953208866
1995-08-31,2409537.282903011,1836475.679238935,1149716.9953208866
1995-09-30,2506153.638775214,1870343.4875006462,1149716.9953208866
1995-10-31,2493674.65977069,1865324.0429784292,1149716.9953208866
1995-11-30,2596037.5178146805,1902438.916988329,1149716.9953208866
1995-12-31,2641322.467632575,1915870.4952878957,1149716.9953208866
1996-01-31,2727475.5044057393,1956275.1044438588,1149716.9953208866
1996-02-29,2746387.0061783735,1962331.1377252867,1149716.9953208866
1996-03-31,2768128.964543388,1975951.1909909083,1149716.9953208866
1996-04-30,2805308.8728558584,1987158.4535958287,1149716.9953208866
1996-05-31,2869419.7354593603,2025051.3123470703,1149716.9953208866
1996-06-30,2875895.1835909947,2025799.4753049584,1149716.9953208866
1996-07-31,2744328.682649385,1967909.8231568986,1127534.6031893261
1996-08-31,2795960.304508341,2021820.5748584257,1162684.45780777
1996-09-30,2947510.656090625,2082911.221157651,1162684.45780777
1996-10-31,3024443.6388668227,2104745.067165541,1162684.45780777
1996-11-30,3246365.674366622,2165721.130390689,1162684.45780777
1996-12-31,3176551.2349548563,2162592.9436987867,1162684.45780777
1997-01-31,3371327.9510860248,2221610.4159312313,1162684.45780777
1997-02-28,3391311.801726699,2227429.9552273243,1162684.45780777
1997-03-31,3246794.4045218206,2170183.5875515193,1162684.45780777
1997-04-30,3436425.3118305183,2281251.7395301573,1230591.7168386295
1997-05-31,3637720.401456845,2367514.5762458392,1274411.6870802487
1997-06-30,3795788.864794266,2408690.519986498,1274411.6870802487
1997-07-31,4092413.858087178,2482860.963747507,1274411.6870802487
1997-08-31,3857240.7105194624,2417945.9703083145,1274411.6870802487
1997-09-30,4062266.904152113,2498628.0566914864,1274411.6870802487
1997-10-31,3922209.2951733833,2444856.1724342555,1274411.6870802487
1997-11-30,4097088.2731309473,2500766.5739572933,1249546.7537713675
1997-12-31,4161542.0151625997,2534130.687682312,1249546.7537713675
1998-01-31,4203782.405050536,2591160.2009333535,1301301.0838148433
1998-02-28,4499935.4810847035,2679396.260538007,1301301.0838148433
1998-03-31,4724687.973176883,2732425.3935814127,1301301.0838148433
1998-04-30,4767571.458297617,2755453.0591395916,1301301.0838148433
1998-05-31,4677816.093608702,2729595.067659081,1297494.7012039202
1998-06-30,4862300.930354906,2837672.328401217,1401466.7639288695
1998-07-31,4805823.715478127,2805002.118059244,1368973.1215688589
1998-08-31,4105150.389272847,2476305.597456878,1169381.333071505
1998-09-30,4361293.362142186,2650462.732713162,1280404.108440216
1998-10-31,4711480.048212512,2798703.430866532,1375342.3146897801
1998-11-30,4990051.000043187,2847696.7680535275,1375342.3146897801
1998-12-31,5271366.5577391945,2900376.828437788,1375342.3146897801
1999-01-31,5487542.3528072275,2960829.473734958,1375342.3146897801
1999-02-28,5310390.4245030545,2903597.694492924,1375342.3146897801
1999-03-31,5516402.854536675,2971459.4173909184,1375342.3146897801
1999-04-30,5725717.396681398,3019536.138087049,1375342.3146897801
