,S0,S2_v1,S3
2022-11-07,739896.5599013811,819491.9959181976,865280.8778379142
2022-11-08,734806.86804626,816109.3045979813,865280.8778379142
2022-11-09,727935.6860500894,811542.6061887867,865280.8778379142
2022-11-10,722334.4772237759,807819.9524370816,865280.8778379142
2022-11-11,742471.7832735911,821203.5309181067,865280.8778379142
2022-11-14,743565.3712809678,821847.6404494331,865280.8778379142
2022-11-15,757666.3851036851,828082.493030865,865280.8778379142
2022-11-16,751477.2257357711,825345.9170124964,865280.8778379142
2022-11-17,748394.4050626461,823982.8283244362,865280.8778379142
2022-11-18,745045.0468106624,822501.8883575611,865280.8778379142
2022-11-21,738687.3416208229,819690.1582222388,865280.8778379142
2022-11-22,738773.5743669242,819728.4337868432,865280.8778379142
2022-11-23,739549.6690818368,820072.9138682834,865280.8778379142
2022-11-24,736272.8247299837,818618.4424133138,865280.8778379142
2022-11-25,739990.6319880373,820268.6411872834,865280.8778379142
2022-11-28,731653.4933081429,816567.1535150276,865280.8778379142
2022-11-29,754226.8744353225,826644.4389408005,865280.8778379142
2022-11-30,755132.3182693871,827048.6502506379,865280.8778379142
2022-12-01,763310.7103030493,830699.6757830003,865280.8778379142
2022-12-02,758642.3830027417,828615.625263449,865280.8778379142
2022-12-05,773523.411210649,835253.2566875535,865280.8778379142
2022-12-06,777701.7797262894,837057.9955180986,865280.8778379142
2022-12-07,775788.9806309494,836231.8111378865,865280.8778379142
2022-12-08,775934.0084312108,836294.4521667141,865280.8778379142
2022-12-09,783589.1244828484,839600.8826883412,865280.8778379142
2022-12-12,774809.0630616152,835808.393230289,865280.8778379142
2022-12-13,773288.2309940087,835152.1673173708,865280.8778379142
2022-12-14,775093.2391567221,835931.0127629864,865280.8778379142
2022-12-15,774524.8869665083,835685.7736975916,865280.8778379142
2022-12-16,774963.89003757,835875.1997343104,865280.8778379142
2022-12-19,763006.9358565557,830631.2778805871,865280.8778379142
2022-12-20,750424.7942663063,822412.072290011,865280.8778379142
2022-12-21,750722.6892073839,822606.6703039936,865280.8778379142
2022-12-22,751798.6386985127,823309.5276044961,865280.8778379142
2022-12-23,750268.0074552129,822309.6522826517,865280.8778379142
2022-12-26,753260.675711959,824180.9197567545,865280.8778379142
2022-12-27,761954.5043870909,831791.5813996926,875267.5981730497
2022-12-28,758703.1378920405,828945.3037473855,871532.7088502387
2022-12-29,755849.6179301396,826447.3047951497,868254.8313011049
2022-12-30,758775.6517921713,829008.783116364,871616.0065626823
2023-01-03,761964.3035627843,831799.3642990376,875278.8546206773
2023-01-04,762954.0203078117,832663.7056260158,876415.7558310567
2023-01-05,777776.2534615588,845608.2867268808,893442.258512443
2023-01-06,780188.8105172593,847715.225684327,896213.5959183384
2023-01-09,786505.3591691867,853229.462531796,903469.5020590376
2023-01-10,787357.8874545073,853969.3472073446,904448.8130026318
2023-01-11,785899.7701113382,852703.8892795097,902773.8535956569
2023-01-12,787436.2808600541,854037.3825798089,904538.8645836519
2023-01-13,798511.3092286678,863649.0798246955,917260.9016922747
2023-01-16,810971.9410403197,874461.1780364962,931574.6004954288
2023-01-17,810830.8329103355,874339.4535968901,931412.5076495925
2023-01-18,809472.6671592386,873167.8558656825,929852.3640084184
2023-01-19,814509.4434656157,877512.74211273,935638.1780889635
2023-01-20,819510.9427394967,881827.1972498761,941383.4689580494
2023-01-30,823395.335984337,884999.89244141,945372.6020351995
2023-01-31,814676.0294524024,881250.4719698459,945372.6020351995
2023-02-01,822333.1053391789,884543.1188078772,945372.6020351995
2023-02-02,819436.4690042273,883297.5257629296,945372.6020351995
2023-02-03,811691.2005362109,879966.9549147342,945372.6020351995
2023-02-06,800961.1031520029,875350.0085254246,945372.6020351995
2023-02-07,802401.581978924,875979.7156440612,945372.6020351995
2023-02-08,798856.2402130732,874429.865062274,945372.6020351995
2023-02-09,809580.4580918653,879117.9703046951,945372.6020351995
2023-02-10,804769.0628264351,877014.6628540109,945372.6020351995
2023-02-13,812071.4085531124,880205.4347736652,945372.6020351995
2023-02-14,812408.5001969634,880351.5846738669,945372.6020351995
2023-02-15,808175.2562974402,878516.2138341255,945372.6020351995
2023-02-16,802256.5541786625,875950.093493376,945372.6020351995
2023-02-17,790697.4465307979,870938.5114504157,945372.6020351995
2023-02-20,810095.894733335,879348.6717213957,945372.6020351995
2023-02-21,812224.2756939287,880272.8040514342,945372.6020351995
2023-02-22,804894.4922753097,877090.2488816886,945372.6020351995
2023-02-23,804247.7466795492,876809.4351902404,945372.6020351995
2023-02-24,795898.8489888231,873184.385718819,945372.6020351995
2023-02-27,792525.9727151752,871717.6111901348,945372.6020351995
2023-02-28,797547.0703404429,873926.7454617298,945372.6020351995
2023-03-01,808812.2027175074,878883.0701272755,945372.6020351995
2023-03-02,807009.1543899326,878089.7822545717,945372.6020351995
2023-03-03,809519.7032025666,879194.3493903693,945372.6020351995
2023-03-06,805298.2183138755,877335.3347642574,945372.6020351995
2023-03-07,793507.8501196479,872197.2995503189,945372.6020351995
2023-03-08,790619.0531252511,870938.4125979677,945372.6020351995
2023-03-09,787824.3282175104,869720.5206074298,945372.6020351995
2023-03-10,777494.0372015906,865218.7613633025,945372.6020351995
2023-03-13,785637.1522027567,868677.9409596456,945372.6020351995
2023-03-14,780935.5077050918,865558.4585902917,945372.6020351995
2023-03-15,781366.6714355989,865844.530337377,945372.6020351995
2023-03-16,772008.4586484585,859635.4730995009,945372.6020351995
2023-03-17,775863.4543662188,862193.2145836689,945372.6020351995
2023-03-20,771994.7398024878,859624.587336646,945372.6020351995
2023-03-21,780480.8259529208,865294.2089523067,945372.6020351995
2023-03-22,783824.3046994887,867528.0136812482,945372.6020351995
2023-03-23,791595.0510243078,872719.711072956,945372.6020351995
2023-03-24,789235.4095173514,871143.215824629,945372.6020351995
2023-03-27,786379.9297203119,869233.5243661324,945372.6020351995
2023-03-28,783838.0235454594,867547.686617627,945372.6020351995
2023-03-29,785137.3942423963,868409.452560001,945372.6020351995
2023-03-30,791485.3002565425,872619.4976389594,945372.6020351995
2023-03-31,793915.4958284908,874231.2469127811,945372.6020351995
2023-04-03,801684.2823181715,879381.6147967861,945372.6020351995
2023-04-04,804141.9155820612,880999.1112698873,945372.6020351995
2023-04-06,802873.902247343,880164.5656414214,945372.6020351995
2023-04-07,808094.9030567548,883600.7782445641,945372.6020351995
2023-04-10,804475.0875556349,881218.0211371279,945372.6020351995
2023-04-11,803561.8043810154,880617.7773704426,945372.6020351995
2023-04-12,803001.2915313564,880249.3874192152,945372.6020351995
2023-04-13,797452.9982537869,876602.8421327653,945372.6020351995
2023-04-14,801964.538743001,879567.9948171198,945372.6020351995
2023-04-17,813210.0727686788,886957.8309212066,945372.6020351995
2023-04-18,815689.2642190938,888580.2464754109,945372.6020351995
2023-04-19,808345.7619545044,883774.561825922,945372.6020351995
2023-04-20,806084.1122044815,882294.5084270667,945372.6020351995
2023-04-21,790317.2385138962,871976.4585191036,945372.6020351995
2023-04-24,780531.7816665262,865481.8926632395,945372.6020351995
2023-04-25,776617.990894606,862009.7259897874,940632.2562186952
2023-04-26,775943.8076069041,861411.6161572047,939815.691891766
2023-04-27,781664.5663766764,866486.8562772883,946744.6200031212
