module,rr,exit_v,zone,n,exp_r,pf,e1,e2,e2020,e2022,passed
C·v1,5,a6_3_structure_stop,低+中,19,-2.512040379009523,0.0,-2.5764957768758703,-2.372387016965772,,-1.5842942936572757,False
C·v1,5,b3_dual,关,40,-2.34917943269357,0.16357788172039128,-3.468663234237748,-0.024097691024894067,,1.7575899010082998,False
C·v1,5,b3_dual,低+中,19,-0.005893358685830186,0.993925967924532,-0.8242275553405124,1.7671640673993145,,1.7575899010082998,False
D,无,a6_1_costbasis,关,0,,,,,,,False
D,无,a6_1_costbasis,低+中,0,,,,,,,False
D,无,a6_2_top_plus_keywave,关,0,,,,,,,False
D,无,a6_2_top_plus_keywave,低+中,0,,,,,,,False
D,无,a6_3_structure_stop,关,0,,,,,,,False
D,无,a6_3_structure_stop,低+中,0,,,,,,,False
D,无,b3_dual,关,0,,,,,,,False
D,无,b3_dual,低+中,0,,,,,,,False
D,2,a6_1_costbasis,关,0,,,,,,,False
D,2,a6_1_costbasis,低+中,0,,,,,,,False
D,2,a6_2_top_plus_keywave,关,0,,,,,,,False
D,2,a6_2_top_plus_keywave,低+中,0,,,,,,,False
D,2,a6_3_structure_stop,关,0,,,,,,,False
D,2,a6_3_structure_stop,低+中,0,,,,,,,False
D,2,b3_dual,关,0,,,,,,,False
D,2,b3_dual,低+中,0,,,,,,,False
D,3,a6_1_costbasis,关,0,,,,,,,False
D,3,a6_1_costbasis,低+中,0,,,,,,,False
D,3,a6_2_top_plus_keywave,关,0,,,,,,,False
D,3,a6_2_top_plus_keywave,低+中,0,,,,,,,False
D,3,a6_3_structure_stop,关,0,,,,,,,False
D,3,a6_3_structure_stop,低+中,0,,,,,,,False
D,3,b3_dual,关,0,,,,,,,False
D,3,b3_dual,低+中,0,,,,,,,False
D,5,a6_1_costbasis,关,0,,,,,,,False
D,5,a6_1_costbasis,低+中,0,,,,,,,False
D,5,a6_2_top_plus_keywave,关,0,,,,,,,False
D,5,a6_2_top_plus_keywave,低+中,0,,,,,,,False
D,5,a6_3_structure_stop,关,0,,,,,,,False
D,5,a6_3_structure_stop,低+中,0,,,,,,,False
D,5,b3_dual,关,0,,,,,,,False
D,5,b3_dual,低+中,0,,,,,,,False
