,S0_bh,S1_dca,v1_hedge0
2011-05-31,2278889.876231237,2549239.5167520447,2399319.6837689974
2011-06-30,2311182.468175463,2585363.048802093,2433318.8042353564
2011-07-31,2256509.8716996983,2524204.523823277,2375756.9895318905
2011-08-31,2161375.3021093244,2417783.9342465433,2275594.9555395506
2011-09-30,1959855.0421512641,2192356.8894957835,2063425.1920164493
2011-10-31,2046374.5589404916,2289140.4039033093,2154516.9037113315
2011-11-30,1914429.1829686298,2141542.0622772365,2015598.7660062653
2011-12-31,1780972.16778578,1992252.7524074088,1875089.1052433401
2012-01-31,1870955.3199745694,2092910.8007817918,1969827.491016388
2012-02-29,1999936.6379455787,2237193.4517882657,2105624.932673205
2012-03-31,1863848.1102035702,2084960.4473263451,1962344.6949075984
2012-04-30,1993873.377905925,2230410.894081269,2099241.2546767527
2012-05-31,1998341.482756083,2235409.0598846343,2103945.4801975545
2012-06-30,1868944.8626010402,2090661.838496777,1967710.789371684
2012-07-31,1771238.7601088001,1981364.649501862,1864841.3276427137
2012-08-31,1674015.5318195678,1872607.6191222297,1762480.2579883724
2012-09-30,1741009.0128337126,1947548.6818507507,1833014.0645456244
2012-10-31,1711940.8968960494,1915032.1523779142,1802409.8201405525
2012-11-30,1624508.0189964154,1817226.9228537441,1710356.4799771637
2012-12-31,1915516.4091615656,2142758.2684676223,2016743.4476064362
2013-01-31,2039977.9942229758,2281985.0008628075,2147782.3073852113
2013-02-28,2029686.5479623317,2270472.6580480896,2136947.0011917064
2013-03-31,1894357.2563885744,2119088.9595850417,1994466.1220212798
2013-04-30,1858083.2299780394,2078511.6668769056,1956275.1648831684
2013-05-31,1978892.8890701616,2213653.2374175135,2083469.10966447
2013-06-30,1670804.7220640338,1869015.9040529977,1759099.7703554293
2013-07-31,1665020.8609342969,1862545.8909535862,1753010.2563322997
2013-08-31,1756804.1620780092,1965217.6438512958,1849643.9214336537
2013-09-30,1829028.021055236,2046009.5756060497,1925684.5095772939
2013-10-31,1802212.558828774,2016012.9370318684,1897451.9622180245
2013-11-30,1851734.4971391233,2071409.770114333,1949590.9280453615
2013-12-31,1769040.0121655448,1978905.0593291267,1862526.3850719782
2014-01-31,1672179.6987647365,1870553.9972169558,1760547.4088295544
2014-02-28,1654353.592770368,1850613.141669426,1741779.2676180738
2014-03-31,1629552.384098276,1822869.7119102536,1715667.418697156
2014-04-30,1638931.9877208509,1833362.038220326,1725542.6951795593
2014-05-31,1637265.4643315393,1831497.8115528005,1723788.1029925174
2014-06-30,1643835.8941315848,1838847.7056670438,1730705.7525536376
2014-07-31,1784395.5636684245,1996082.2731563253,1878693.4133115357
2014-08-31,1775312.0621514674,1985921.1761858133,1869129.8866938741
2014-09-30,1860878.73754954,2081638.8115647542,1959218.403355279
2014-10-31,1904411.0617285557,2130335.4696221123,2005051.228971866
2014-11-30,2132556.9748710156,2385546.826447336,2245253.70033993
2014-12-31,2682916.643929916,3001196.8547461005,2824697.5782879437
2015-01-31,2607513.1038800534,2916848.029468068,2745309.2762122974
2015-02-28,2712631.6290829293,3034436.9929299764,2855982.8762453184
2015-03-31,3075820.601763716,3440711.859856673,3238364.8685849276
2015-04-30,3606285.2462697634,4034106.67376098,3796862.3530617617
2015-05-31,3675332.461119027,4111345.1092164502,3869558.424709201
2015-06-30,3396061.8621150395,3798944.0343451425,3575529.541451553
2015-07-31,2897775.924127981,3241545.3565910533,3050911.27367671
2015-08-31,2555995.8929195404,2859219.2202205667,2691069.5959103433
2015-09-30,2431793.966627672,2720282.950476995,2560304.1167783253
2015-10-31,2683200.5982568422,3001514.495189679,2824996.5384135563
2015-11-30,2707748.981284906,3028975.1060512266,2850842.2009118786
2015-12-31,2832713.939925867,3168764.9283236647,2982411.03546439
2016-01-31,2236778.082923019,2502131.910218577,2354982.4584725243
2016-02-29,2184677.0193491206,2443849.9846579423,2300128.0713873925
2016-03-31,2443288.802214994,2733141.443299927,2572406.4063964905
2016-04-30,2396714.977945964,2681042.4654110847,2523371.3501185
2016-05-31,2406444.5894421027,2691926.321786637,2533615.130928086
2016-06-30,2394570.895006823,2678644.0252702683,2521113.9613548424
2016-07-31,2432539.5365448943,2721116.9689678885,2561089.0869503627
2016-08-31,2526581.565289154,2826315.4072122443,2660100.84396937
2016-09-30,2470011.6376289297,2763034.4665422454,2600541.432003591
2016-10-31,2533022.924940597,2833520.919306679,2666882.6025638706
2016-11-30,2686178.322508723,3004845.4733172576,2828131.6229503043
2016-12-31,2513133.2150409217,2811271.650054214,2645941.804602987
2017-01-31,2572262.527824321,2877415.601246412,2708195.8545015985
2017-02-28,2621498.2340992396,2932492.2459673015,2760033.462127113
2017-03-31,2623955.1223397003,2935240.600179653,2762620.186645242
2017-04-30,2611584.8874503844,2921402.857540022,2749596.236529705
2017-05-31,2651924.6235419046,2966528.183872121,2792067.7591184736
2017-06-30,2783965.6632709657,3114233.5380540513,2931086.61607813
2017-07-31,2837928.3739294163,3174597.961923922,2987901.0305175777
2017-08-31,2901871.2440195275,3246126.5131489723,3055223.014113642
2017-09-30,2912810.3187316903,3258363.313980729,3066740.1732166116
2017-10-31,3042045.221582895,3402929.633190826,3202804.600689554
2017-11-30,3041575.2543947482,3402403.9127775244,3202309.7976992195
2017-12-31,3060370.9049759735,3423429.332085614,3222098.719878087
2018-01-31,3246417.1725889076,3631546.671273352,3417976.7553603305
2018-02-28,3054894.5344943777,3417303.287915746,3216332.946098953
2018-03-31,2959880.6834547566,3311017.7379928334,3116298.010036898
2018-04-30,2852356.8980708607,3190738.173126497,3003092.0418718695
2018-05-31,2886901.3844901198,3229380.7467692015,3039462.0600580187
2018-06-30,2665666.7981872503,2981900.622451715,2806536.1502736225
2018-07-31,2670732.4219018216,2987567.192076193,2811869.4710353534
2018-08-31,2531676.0399781195,2832014.250464679,2665464.5403589024
2018-09-30,2610910.6857329775,2920648.6738130227,2748886.4060685835
2018-10-31,2394496.489862334,2678560.793282379,2521035.6242092787
2018-11-30,2408820.9986487287,2694584.6495631086,2536117.1234316374
2018-12-31,2285797.406889986,2556966.5027297875,2406592.2488890984
2019-01-31,2430795.5710664215,2719166.113088478,2559252.960183252
2019-02-28,2785918.418695708,3116417.953083152,2933142.56646768
2019-03-31,2940021.3430018113,3288802.4409803227,3095389.186421108
2019-04-30,2971051.3251982355,3323513.5771542457,3128058.9735212186
2019-05-31,2755867.0919201593,3082801.5723417755,2901503.1526382337
2019-06-30,2904524.015191397,3249093.988309033,3058015.9731576242
2019-07-31,2911943.2710275473,3257393.406530016,3065827.305664164
2019-08-31,2884783.115580699,3227011.1830323464,3037231.849487696
2019-09-30,2896127.6224067076,3239701.513267501,3049175.866097675
2019-10-31,2950962.6954224785,3301041.7897300757,3106908.7435999606
2019-11-30,2906865.4995342838,3251713.248009556,3060481.1951643955
2019-12-31,3110273.2206066167,3479251.667473514,3274638.164378436
2020-01-31,3039906.453296932,3400537.138192002,3200552.8074362925
2020-02-29,2991427.7054817597,3346307.251551989,3149512.1603622464
2020-03-31,2798662.1977798035,3130673.554274229,2946559.80102788
2020-04-30,2970569.9694675645,3322975.117150961,3127552.1801514747
2020-05-31,2935983.7250590515,3284285.8316783183,3091138.19724082
2020-06-30,3161432.072095715,3536479.6042895475,3328500.547407055
2020-07-31,3564648.7348028705,3987530.7327828063,3753025.5259414595
2020-08-31,3656644.6220736937,4090440.2913602004,3849883.011459769
2020-09-30,3482916.2020544666,3896102.092698172,3666973.7703477712
2020-10-31,3564867.3948193267,3987775.3329104814,3753255.741226138
2020-11-30,3766002.722040084,4212771.779519814,3965020.230068497
2020-12-31,3956599.0920093465,4425979.009558795,4165688.8218045016
2021-01-31,4063405.399214245,4545455.980256197,4278139.39606668
2021-02-28,4051861.972512155,4532543.131849338,4265985.947496332
2021-03-31,3832898.261588524,4287603.28177448,4035450.9193663597
2021-04-30,3889938.156436896,4351409.9428577805,4095505.1343224915
2021-05-31,4047920.7775627626,4528134.38440919,4261836.476861718
2021-06-30,3966280.8716268856,4436809.359656419,4175882.2430205676
2021-07-31,3652814.2756048664,4086155.542595888,3845850.2471847497
2021-08-31,3648592.92250939,4081433.401242156,3841405.81321664
2021-09-30,3694733.982162517,4133048.274711641,3889985.2350770524
2021-10-31,3726915.7256261786,4169047.8080858546,3923867.6492148656
2021-11-30,3668648.9051299123,4103868.668508375,3862521.6707169223
2021-12-31,3750909.866251419,4195888.425568225,3949129.7799152513
2022-01-31,3464980.7660518694,3876038.9370868043,3648090.5214936985
2022-02-28,3478551.35332319,3891219.432510653,3662378.2575990907
2022-03-31,3205948.3663487844,3586276.9629214443,3375369.3418049207
2022-04-30,3049275.4276131513,3411017.57421809,3210416.8928978867
2022-05-31,3106428.4486505925,3474950.781895223,3270590.2122894954
2022-06-30,3405182.566204241,3809146.7473095995,3585132.236644376
2022-07-31,3166092.2636964405,3541692.6445106273,3333407.010661776
2022-08-31,3096802.8525095046,3464183.280441516,3260455.943611854
2022-09-30,2888806.308036262,3231511.6555203726,3041467.650854064
2022-10-31,2663934.221251301,2979962.5061622877,2804712.013885993
2022-11-30,2925365.048009891,3272407.437978086,3079958.3674785937
2022-12-31,2939484.5630308576,3288201.98163912,3094824.039871566
2023-01-31,3156036.9398841225,3530444.4358615587,3322820.3050010507
2023-02-28,3089680.4580151406,3456215.940866092,3252957.160328611
2023-03-31,3075609.534108942,3440475.752788986,3238142.64688779
2023-04-30,3059027.816194337,3421926.9097736087,3220684.654466297
2023-05-31,2883991.2322572134,3226125.3568755225,3036398.118439361
2023-06-30,2917328.533168953,3263417.53398002,3071497.1564080124
2023-07-31,3048052.298146099,3409649.342253906,3209129.1261492134
2023-08-31,2858727.6487586563,3197864.699763037,3009799.460114032
2023-09-30,2801214.7497774637,3133528.921042438,2949247.2447330556
2023-10-31,2712375.7664942285,3034150.7768083564,2855713.492387299
2023-11-30,2654443.7691481616,2969346.1811763803,2794720.0310440212
2023-12-31,2605022.80924819,2914062.305791766,2742687.3799134237
2024-01-31,2441211.532058659,2730817.742087011,2570219.3611919717
2024-02-29,2669537.3841729946,2986230.3844339675,2810611.280555893
2024-03-31,2685785.797409737,3004406.38211584,2827718.354539976
2024-04-30,2736586.289427421,3061233.4465004057,2881203.4402964828
2024-05-31,2718008.5396264843,3040451.778013992,2861643.9340436663
2024-06-30,2628215.196479758,2940006.0561393276,2767105.3879033206
2024-07-31,2613354.666958578,2923382.5898233936,2751459.5414900477
2024-08-31,2521751.3047867403,2820912.1224474167,2655015.324382081
2024-09-30,3050500.8347887085,3412388.3541002707,3211707.0577224423
2024-10-31,2954218.300111939,3304683.6138532413,3110336.39339407
2024-11-30,2973611.4695575787,3326377.4369824445,3130754.410812669
2024-12-31,2987526.7500492856,3341943.5173297813,3145405.0557348817
2025-01-31,2898065.1931080846,3241868.9421766237,3051215.8293146915
2025-02-28,2953465.8970692023,3303841.951608359,3109544.228994359
2025-03-31,2951383.3122596894,3301512.305253451,3107351.5882795164
2025-04-30,2862753.878158892,3202368.569475058,3014038.45891491
2025-05-31,2915643.0288754352,3261532.0746625224,3069722.580255278
2025-06-30,2988413.537893803,3342935.506736465,3146338.7066116356
2025-07-31,3094336.0941988565,3461423.885251179,3257858.827431569
2025-08-31,3414102.0727088554,3819124.3941843547,3594523.1017985744
2025-09-30,3523382.7305860845,3941369.253132083,3709578.785827311
2025-10-31,3523362.9904457093,3941347.171176112,3709558.0025029993
2025-11-30,3436805.5118480697,3844521.1914686426,3618426.322832453
2025-12-31,3515217.904832711,3932235.8164202063,3700982.4831487057
2026-01-31,3573223.548087099,3997122.7947340733,3762053.4822788374
2026-02-28,3576493.5782637564,4000780.7556712176,3765496.319886867
2026-03-31,3378638.1512898444,3779453.3109770156,3557185.0603146944
2026-04-30,3649881.346286912,4082874.6735222433,3842762.3248072662
2026-05-31,3714275.202660965,4154907.7125106244,3910559.127427986
2026-06-30,3780565.630983309,4229062.317884189,3980352.727899845
2026-07-31,3483525.109461404,3896783.236109268,3667614.8559669117
2026-08-31,3485496.8457903517,3898988.88378834,3669690.7903221594
