,S0_bh,S1_dca,v1_hedge50
2008-04-30,941774.4172221163,1184667.1302537294,1418418.5770434495
2008-05-31,997630.3296249701,1254928.8216353788,1502776.7396645662
2008-06-30,901707.2672856224,1134266.2755854535,1357867.1229145208
2008-07-31,907496.2353247253,1141548.2743620216,1366634.9246844938
2008-08-31,920671.7842648722,1158121.9245557496,1386590.2259640098
2008-09-30,777265.5187549843,977729.7988882118,1169451.8984802845
2008-10-31,657010.2133460074,826459.4894049172,987005.1714049004
2008-11-30,581700.6582932196,731726.8731503497,872748.4091759394
2008-12-31,594948.2064612869,748391.0918678782,892935.3741604328
2009-01-31,581344.9104178348,731279.3744639136,878644.5282004785
2009-02-28,550737.2288035541,692777.6763092078,832144.3401177365
2009-03-31,607554.1782271485,764248.2654360161,918496.0102891953
2009-04-30,686905.1158797028,864064.5758737881,1052845.0845847512
2009-05-31,708947.1462618344,891791.4586604191,1092892.5653103115
2009-06-30,729881.6187605062,918125.1336943291,1120806.615376384
2009-07-31,791474.45796581,995603.3606786133,1206191.8703900962
2009-08-31,803110.2766439664,1010240.1693129609,1216859.686490491
2009-09-30,848469.7902337479,1067298.3393072283,1285798.0894913399
2009-10-31,822564.052052157,1034711.2611837719,1246425.9693458693
2009-11-30,874777.4319113264,1100390.9757178118,1325781.0315566494
2009-12-31,920290.3255404267,1157642.0839440965,1394952.544970861
2010-01-31,860748.0703691549,1082743.3064102512,1304458.8941857426
2010-02-28,900375.8789812526,1132591.5093856629,1364686.1237995261
2010-03-31,969803.4024569433,1219925.0613408887,1466127.5310917262
2010-04-30,991551.2405420778,1247281.876797326,1499180.3816991888
2010-05-31,918252.1322770262,1155078.2209636418,1387789.4786408385
2010-06-30,863380.5780953517,1086054.7632903003,1304379.2340330738
2010-07-31,926046.5465428602,1164882.8899071352,1399637.7670697563
2010-08-31,878541.216996192,1105125.4773074083,1327424.9198713547
2010-09-30,994270.5721682005,1250702.550299192,1506290.450862211
2010-10-31,1057285.6948310079,1329969.8813737931,1602702.3277947407
2010-11-30,1055462.5699435708,1327676.5549794908,1599930.9958162778
2010-12-31,1105671.8311585768,1390835.269325532,1676254.0893020728
2011-01-31,1136937.7282099111,1430164.9430321786,1723781.376615614
2011-02-28,1172873.0871737795,1475368.3779523305,1778406.7125650947
2011-03-31,1167615.683194774,1468755.0387380798,1770414.9332464556
2011-04-30,1201161.8360643485,1510953.0682495134,1821408.4372255201
2011-05-31,1186523.5566511364,1492539.435274163,1799156.7899977001
2011-06-30,1162490.7719560226,1462308.3634207307,1762624.5561304362
2011-07-31,1181848.6073973225,1486658.7714810935,1792050.400054772
2011-08-31,1121940.8244924175,1411300.1930827172,1700981.7516188512
2011-09-30,1071556.4993894873,1347921.2641821865,1624387.1888013089
2011-10-31,1183019.8892440307,1488132.138222304,1786568.9176330704
2011-11-30,1151172.953555577,1448071.570405332,1756835.5484109924
2011-12-31,1144102.8683386669,1439178.0419643372,1746087.1437366153
2012-01-31,1240418.0100630014,1560333.7884573305,1892511.7040866187
2012-02-29,1319929.319689731,1660351.832349468,2000705.4280702954
2012-03-31,1386626.094329217,1744250.3489840569,2102102.214998166
2012-04-30,1370409.1422320292,1723850.8884008047,2077448.146712163
2012-05-31,1273930.7078518705,1602489.7344998068,1930775.3382164435
2012-06-30,1320064.910122643,1660522.3928638655,2000913.4230202215
2012-07-31,1333232.847589402,1677086.468511746,2020932.5033898414
2012-08-31,1402363.4350974557,1764046.5018469961,2126031.0270437067
2012-09-30,1414822.0009455532,1779718.2520882876,2144971.6570119816
2012-10-31,1340130.1700615052,1685762.6770283913,2031418.4320520016
2012-11-30,1357668.2438245395,1707823.989307733,2058081.385842359
2012-12-31,1351328.7715473736,1699849.5059361574,2048443.5511140325
2013-01-31,1387430.874881742,1745262.6902095238,2109357.5507675684
2013-02-28,1392202.9146740052,1751265.4851281117,2116612.4339540587
2013-03-31,1434314.010731693,1804237.4393521922,2193306.2768117976
2013-04-30,1470706.6776373736,1850016.1263466855,2248633.675312039
2013-05-31,1523321.341453999,1916200.619844353,2307182.9371405183
2013-06-30,1486833.8851529863,1870302.6963544814,2251711.431294071
2013-07-31,1580712.5588436178,1988393.58618896,2394434.2167227184
2013-08-31,1574453.9805975757,1980520.8601999946,2384919.3643608084
2013-09-30,1650534.3743419084,2076223.1218854655,2500583.607205592
2013-10-31,1732349.7477675916,2179139.4698711447,2618214.168035833
2013-11-30,1793868.1538436012,2256524.0667035957,2711739.9702774864
2013-12-31,1846377.2305933442,2322575.7412106134,2791568.9814830185
2014-01-31,1810901.7462309187,2277950.786990728,2737635.966202882
2014-02-28,1904207.4352853412,2395320.913920371,2879487.6489617466
2014-03-31,1852154.3388948424,2329842.821508768,2800351.8600229304
2014-04-30,1846238.984995297,2322401.840738362,2791358.808117217
2014-05-31,1929054.4706219628,2426576.239515615,2917262.3421212705
2014-06-30,1989315.0364678516,2502378.586980824,3010116.8044142
2014-07-31,2012827.5858074455,2531955.2497587814,3045862.6921898834
2014-08-31,2113659.782965545,2658793.0438844757,3199156.8480779277
2014-09-30,2097667.0153112854,2638675.587076007,3174843.207326558
2014-10-31,2153087.392126437,2708389.4140377156,3259098.238182975
2014-11-30,2250973.5950613595,2831521.4135927632,3401368.137537384
2014-12-31,2200537.3172272807,2768077.132850228,3330122.4168201545
2015-01-31,2154715.362376426,2710437.2535297684,3260459.768499715
2015-02-28,2310298.1266915323,2906146.3145826026,3496990.650485926
2015-03-31,2255799.0921783475,2837591.45299614,3414136.3268881487
2015-04-30,2299163.072157903,2892139.421999469,3480062.1412040778
2015-05-31,2350858.783321183,2957167.956083959,3558654.601044874
2015-06-30,2292461.2583452663,2883709.1457127873,3469873.442353093
2015-07-31,2396946.077674565,3015141.608525935,3628720.642291481
2015-08-31,2233367.726081869,2809374.821056223,3380034.47798251
2015-09-30,2184069.452024802,2747362.0462497976,3305086.4731678185
2015-10-31,2432396.426473709,3059734.9444781383,3682617.1602476533
2015-11-30,2447206.229554665,3078364.3387308395,3705132.455434889
2015-12-31,2408178.842285175,3029271.411558086,3645799.2462115274
2016-01-31,2241763.5352508603,2819935.9904535874,3392798.487102206
2016-02-29,2206672.3417890244,2775794.439467066,3339449.342779845
2016-03-31,2357886.1203794144,2966007.711203509,3552685.899357811
2016-04-30,2282745.124059969,2871487.1266066893,3467434.735561455
2016-05-31,2382502.1563492604,2996972.4604654782,3619095.3600015957
2016-06-30,2328227.2177734994,2928699.4913218706,3536581.1663958803
2016-07-31,2494715.9843765586,3138127.3179269894,3779170.2693963
2016-08-31,2520912.0206129476,3171079.5647757873,3818996.1054531117
2016-09-30,2576713.148108509,3241272.3416937212,3903830.5641998276
2016-10-31,2539165.218852437,3194040.4390370683,3846746.4442462972
2016-11-30,2550233.717246673,3207963.6100100013,3863573.883270511
2016-12-31,2579108.6380936233,3244285.65166936,3907472.427822324
2017-01-31,2711677.8471035734,3411045.739356882,4109017.4072447205
2017-02-28,2830314.5195932873,3560279.954866576,4289380.750243067
2017-03-31,2887682.194518706,3632443.306918213,4376596.831176962
2017-04-30,2966428.1970479228,3731498.663624976,4496314.385335076
2017-05-31,3082039.928404435,3876927.7764838394,4672078.910078428
2017-06-30,3010601.1173387156,3787064.2064544098,4563470.479706634
2017-07-31,3132870.7637776267,3940868.3749634395,4749357.033300421
2017-08-31,3197833.804089233,4022586.0104514686,4848120.348859137
2017-09-30,3188390.9748018677,4010707.784340448,4833764.414712556
2017-10-31,3335260.903230822,4195456.8850281825,5057050.779050453
2017-11-30,3401025.4493912864,4278182.742460325,5157032.624017478
2017-12-31,3421536.069028851,4303983.248888851,5188214.920748866
2018-01-31,3721163.31204688,4680887.250145332,5643738.243090825
