,S0_bh,S1_dca,v1_hedge0,v1_hedge50,v1_hedge100,v3_hedge50
1998-02-28,4456218.368972774,3438593.4770912877,3621647.100964594,3618019.4858945757,3614391.8708245573,3737191.2900011973
1998-03-31,4678787.378671587,3610336.484633674,3802337.752067436,3798710.1369974175,3795082.521927399,3917654.725445491
1998-04-30,4721254.248457579,3643105.592731098,3836814.0988073265,3833186.483737308,3829558.8686672896,3952087.718720324
1998-05-31,4632370.86190196,3574519.673477238,3764654.919905045,3761027.3048350266,3757399.689765008,3880019.2788532637
1998-06-30,4815063.4186644,3715492.44051452,3912972.2309166687,3909344.61584665,3905717.0007766318,4028150.0831735344
1998-07-31,4759134.882928669,3672335.7811588696,3867567.151606692,3863939.5365366735,3860311.921466655,3982802.1000383394
1998-08-31,4065268.6352880294,3136921.275953437,3304258.07172116,3300630.4566511414,3297002.841581123,3420201.372481892
1998-09-30,4318923.165576651,3332651.094617186,3510306.0522066103,3506678.437136592,3503050.8220665734,3625869.574060528
1998-10-31,4665707.769399489,3600243.743344537,3792006.544039647,3788378.9289696286,3784751.31389961,3907049.5148337074
1998-11-30,4941572.389643078,3813111.741541074,4016097.2284163195,3981802.07381829,3947506.9192202613,4100115.2353044534
1998-12-31,5220154.9517602995,4028077.0106574697,4242395.754646799,4208100.600048769,4173805.4454507404,4325995.587122431
1999-01-31,5434230.587501915,4193266.1965803714,4416293.935861012,4381998.781262983,4347703.626664953,4499572.423911758
1999-02-28,5258799.69958667,4057896.81902342,4273787.703278445,4239492.548680415,4205197.394082386,4357329.526937603
1999-03-31,5462810.707924782,4215319.742327774,4439510.174099438,4405215.019501409,4370919.864903379,4522745.76113378
1999-04-30,5670091.7481795205,4375265.950957793,4607888.961230523,4573593.806632494,4539298.652034464,4690813.403064059
1999-05-31,5528506.831069053,4266013.456551242,4492876.528883514,4458581.374285485,4424286.219687455,4576013.500852036
1999-06-30,5829469.516506597,4498248.109637144,4737354.904153196,4703059.749555167,4668764.5949571375,4820040.107377791
1999-07-31,5642657.797789574,4354096.835117659,4585603.781229513,4551308.626631483,4517013.472033454,4668569.403587772
1999-08-31,5607368.098562507,4326865.914295733,4556937.209763198,4522642.055165169,4488346.9005671395,4639955.804745191
1999-09-30,5447267.688432676,4203326.136760329,4426884.249570984,4392589.094972955,4358293.940374926,4510143.167904296
